match_id,kills,deaths,player_slot,hero_id,start_time,duration,first_blood_time,leagueid,game_mode,last_hits,xp_per_min,denies,radiant_win,gold_per_min,cluster,assists,lobby_type,leaver_status,kd_ratio,picks_bans
3046131986,"{1,2,0,2,1,4,4,3,3,6}","{6,3,4,4,3,2,1,2,2,0}","{0,1,2,3,4,128,129,130,131,132}","{30,93,55,39,107,8,74,86,84,104}",1489143768,1318,115,5157,2,"{26,124,123,108,5,140,118,23,13,81}","{306,380,350,386,167,507,570,250,290,394}","{4,3,3,20,1,7,24,0,4,6}",f,"{214,375,360,373,171,580,573,312,304,456}",188,"{3,3,5,2,2,10,7,10,9,8}",1,"{1,0,0,0,0,0,0,0,0,0}","{0.16666666666667,0.66666666666667,0,0.5,0.33333333333333,2,4,1.5,1.5,6}",
3046093297,"{1,5,0,2,4,1,0,0,12,14}","{5,6,4,4,8,4,1,5,1,1}","{0,1,2,3,4,128,129,130,131,132}","{5,96,102,78,52,16,90,87,63,11}",1489142408,2010,55,5157,2,"{49,159,181,62,194,155,115,54,236,291}","{339,450,445,271,410,484,467,407,708,793}","{0,6,12,0,3,3,0,5,7,8}",f,"{238,398,387,252,425,442,387,359,646,735}",156,"{6,4,7,3,0,15,18,18,7,8}",1,"{0,0,1,0,0,0,0,0,0,0}","{0.2,0.83333333333333,0,0.5,0.5,0.25,0,0,12,14}",
3046081228,"{0,3,2,0,4,0,0,1,0,9}","{0,3,2,3,2,3,4,3,0,0}","{0,1,2,3,4,128,129,130,131,132}","{55,11,15,28,30,20,91,19,97,8}",1489141969,1828,291,5157,2,"{138,240,171,24,25,39,15,288,94,242}","{351,477,415,221,225,246,273,507,379,584}","{0,13,15,0,3,3,1,15,1,36}",f,"{383,519,412,212,217,304,267,678,382,692}",181,"{7,2,3,7,4,6,6,5,7,0}",1,"{0,0,1,0,1,0,0,0,0,0}","{0,1,1,0,2,0,0,0.33333333333333,0,9}",
3046074799,"{11,9,5,4,2,0,3,2,0,1}","{1,2,0,2,1,5,6,8,8,4}","{0,1,2,3,4,128,129,130,131,132}","{11,9,37,84,96,90,8,76,86,38}",1489141738,2175,226,5157,2,"{307,274,104,56,143,132,258,181,21,171}","{729,594,493,505,536,248,523,403,182,452}","{19,7,9,1,4,1,20,9,1,4}",t,"{748,631,429,370,437,301,506,409,182,360}",154,"{10,12,15,20,21,2,1,1,2,5}",1,"{0,0,0,0,0,0,0,0,0,0}","{11,4.5,5,2,2,0,0.5,0.25,0,0.25}",
3046046579,"{4,0,10,17,2,3,0,3,1,4}","{2,1,4,2,3,4,7,7,9,6}","{0,1,2,3,4,128,129,130,131,132}","{62,90,106,81,33,8,86,11,28,60}",1489140693,1704,197,5157,2,"{25,71,199,147,114,157,28,187,53,78}","{368,385,586,620,454,404,249,491,220,366}","{2,1,9,13,14,14,1,15,1,2}",t,"{449,382,621,654,473,428,231,458,234,372}",138,"{21,22,14,8,10,3,8,8,5,7}",1,"{0,0,0,0,0,0,0,0,0,0}","{2,0,2.5,8.5,0.66666666666667,0.75,0,0.42857142857143,0.11111111111111,0.66666666666667}",
3046042387,"{6,16,11,2,3,0,6,6,1,2}","{4,1,4,2,4,12,3,6,7,12}","{0,1,2,3,4,128,129,130,131,132}","{5,9,67,103,51,107,76,63,86,16}",1489140541,3246,42,5157,2,"{94,498,445,86,245,46,403,386,150,274}","{432,508,510,442,515,155,511,512,314,464}","{2,7,26,4,35,2,13,12,3,11}",t,"{340,726,649,309,482,171,549,537,313,413}",131,"{24,12,21,26,27,6,2,8,9,9}",1,"{0,0,0,0,0,0,0,0,0,0}","{1.5,16,2.75,1,0.75,0,2,1,0.14285714285714,0.16666666666667}",
3046015992,"{1,7,8,5,5,2,12,7,3,5}","{7,7,2,5,8,1,7,7,8,3}","{0,1,2,3,4,128,129,130,131,132}","{50,107,70,55,109,28,2,11,111,73}",1489139560,2214,88,5157,2,"{28,50,176,152,360,50,121,314,24,380}","{260,566,578,333,455,386,583,703,399,751}","{0,0,13,0,6,1,2,14,1,2}",f,"{211,433,524,377,604,317,452,673,282,969}",187,"{12,14,6,13,12,17,9,16,9,16}",1,"{0,0,1,0,0,0,0,0,0,0}","{0.14285714285714,1,4,1,0.625,2,1.7142857142857,1,0.375,1.6666666666667}",
3045976946,"{12,2,17,5,0,2,0,14,1,2}","{5,6,0,4,5,11,6,8,7,5}","{0,1,2,3,4,128,129,130,131,132}","{10,86,80,91,96,84,1,11,97,87}",1489138067,2780,218,5157,2,"{359,59,349,20,118,14,530,453,133,18}","{593,359,593,435,454,242,594,595,316,257}","{9,2,15,2,2,0,28,13,0,2}",t,"{702,341,716,282,336,228,624,698,307,249}",155,"{13,20,12,19,24,13,4,3,9,14}",1,"{0,0,0,0,0,0,0,0,0,0}","{2.4,0.33333333333333,17,1.25,0,0.18181818181818,0,1.75,0.14285714285714,0.4}",
3045974572,"{1,1,4,2,1,5,7,15,4,4}","{8,8,7,8,6,2,2,1,2,2}","{0,1,2,3,4,128,129,130,131,132}","{51,75,90,98,73,37,93,74,96,107}",1489137976,2380,96,5157,2,"{121,22,115,262,328,82,310,346,341,27}","{265,109,248,533,493,489,694,697,637,379}","{24,1,3,16,5,2,10,38,3,0}",f,"{314,140,275,440,678,388,669,788,632,337}",156,"{5,3,0,1,2,14,10,13,14,15}",1,"{0,0,0,0,0,0,0,0,0,0}","{0.125,0.125,0.57142857142857,0.25,0.16666666666667,2.5,3.5,15,2,2}",
3045939311,"{4,0,9,0,4,0,1,1,6,0}","{0,2,1,4,1,2,4,4,2,5}","{0,1,2,3,4,128,129,130,131,132}","{89,84,8,16,5,37,28,74,54,57}",1489136641,2286,174,5157,2,"{600,15,284,119,80,65,42,310,274,151}","{630,327,578,386,403,326,277,609,493,359}","{6,1,17,3,2,0,1,17,22,3}",t,"{939,265,614,340,358,216,228,550,510,353}",136,"{7,14,4,11,11,2,6,2,1,2}",1,"{0,0,0,0,0,1,0,0,0,0}","{4,0,9,0,4,0,0.25,0.25,3,0}",
3045936211,"{0,0,1,0,0,1,11,3,0,3}","{5,3,4,3,3,1,0,0,0,0}","{0,1,2,3,4,128,129,130,131,132}","{16,75,76,88,48,87,70,49,55,58}",1489136521,1581,144,5157,2,"{64,31,176,88,178,19,159,171,165,90}","{255,247,443,312,393,263,664,475,499,387}","{0,3,25,0,13,1,16,6,0,0}",f,"{270,209,429,342,441,304,627,572,513,419}",183,"{1,1,0,0,1,13,4,7,15,8}",1,"{0,1,1,0,0,1,1,0,0,0}","{0,0,0.25,0,0,1,11,3,0,3}",
3045933663,"{3,6,1,4,5,9,12,6,1,2}","{4,7,5,7,7,1,6,5,3,4}","{0,1,2,3,4,128,129,130,131,132}","{55,107,63,37,44,54,35,60,87,84}",1489136430,2282,271,5157,2,"{151,15,226,35,148,314,332,89,33,31}","{317,226,442,292,360,625,619,451,375,319}","{1,0,20,0,3,32,15,4,1,4}",f,"{331,225,425,251,360,664,710,381,331,328}",131,"{12,12,12,10,11,8,9,16,15,20}",1,"{0,0,0,0,0,0,0,0,0,0}","{0.75,0.85714285714286,0.2,0.57142857142857,0.71428571428571,9,2,1.2,0.33333333333333,0.5}",
3045925133,"{2,12,10,12,9,7,3,7,11,2}","{9,2,11,6,2,5,11,6,13,11}","{0,1,2,3,4,128,129,130,131,132}","{5,54,69,35,96,86,97,74,70,66}",1489136106,4078,125,5157,2,"{143,335,163,730,269,52,236,607,412,217}","{409,410,404,405,404,340,404,405,404,404}","{2,18,0,27,2,2,1,27,15,0}",t,"{357,509,451,749,457,322,430,686,538,355}",188,"{23,17,22,17,25,14,14,13,12,21}",1,"{0,0,0,0,0,0,0,0,0,0}","{0.22222222222222,6,0.90909090909091,2,4.5,1.4,0.27272727272727,1.1666666666667,0.84615384615385,0.18181818181818}",
3045880650,"{0,0,2,2,0,1,8,5,4,12}","{9,6,4,6,6,1,0,1,1,1}","{0,1,2,3,4,128,129,130,131,132}","{88,86,13,8,97,87,41,55,16,76}",1489134378,1717,137,5157,2,"{37,31,170,194,125,28,141,166,56,201}","{182,173,436,411,335,393,475,461,388,582}","{1,0,22,5,0,3,24,0,0,15}",f,"{193,176,435,469,309,352,518,531,389,675}",152,"{1,2,1,1,1,23,11,18,24,10}",1,"{0,0,0,1,0,0,0,0,0,0}","{0,0,0.5,0.33333333333333,0,1,8,5,4,12}",
3045877131,"{2,12,4,4,4,0,2,7,0,4}","{1,1,3,2,6,4,5,7,6,4}","{0,1,2,3,4,128,129,130,131,132}","{73,70,50,84,96,5,48,2,28,15}",1489134247,2198,323,5157,2,"{365,168,67,47,135,69,237,188,70,241}","{689,535,407,396,428,242,409,399,350,573}","{2,17,6,3,1,0,18,0,3,42}",t,"{979,548,320,348,405,261,451,393,253,520}",154,"{15,13,17,21,16,8,5,2,6,6}",1,"{0,0,0,0,0,0,0,0,0,0}","{2,12,1.3333333333333,2,0.66666666666667,0,0.4,1,0,1}",
3045791892,"{4,5,2,6,1,2,0,1,1,3}","{2,2,1,0,4,2,6,5,2,3}","{0,1,2,3,4,128,129,130,131,132}","{98,8,84,63,86,38,26,91,10,106}",1489130776,1115,173,5157,2,"{85,108,14,125,6,72,3,26,91,78}","{497,406,278,483,226,412,118,230,359,307}","{6,4,3,4,1,7,0,3,5,4}",t,"{519,633,350,671,319,342,177,250,370,370}",153,"{3,4,11,8,11,3,3,4,1,4}",1,"{0,0,0,0,0,0,0,0,0,0}","{2,2.5,2,6,0.25,1,0,0.2,0.5,1}",
3045758754,"{2,6,6,9,4,1,9,3,1,6}","{4,1,4,5,6,3,3,6,12,3}","{0,1,2,3,4,128,129,130,131,132}","{103,80,2,76,5,87,63,108,16,15}",1489129368,3252,348,5157,2,"{99,540,192,377,99,67,342,317,153,370}","{432,510,520,507,438,316,507,508,419,513}","{2,17,1,31,1,3,15,1,0,40}",t,"{298,725,395,614,321,292,491,433,349,569}",154,"{16,14,17,9,18,13,7,10,9,9}",1,"{0,0,0,0,0,0,0,0,0,0}","{0.5,6,1.5,1.8,0.66666666666667,0.33333333333333,3,0.5,0.083333333333333,2}",
3045690961,"{0,2,1,12,10,12,5,3,6,2}","{7,8,6,4,4,2,5,4,6,8}","{0,1,2,3,4,128,129,130,131,132}","{38,87,16,106,11,74,77,37,84,96}",1489126312,3019,146,5157,2,"{187,101,93,435,396,441,334,138,78,278}","{422,326,361,550,546,546,546,442,386,546}","{3,0,1,15,11,13,12,9,2,2}",f,"{331,329,284,594,588,776,597,414,352,509}",154,"{13,15,14,10,10,13,15,14,12,20}",1,"{0,0,0,0,0,0,0,0,0,0}","{0,0.25,0.16666666666667,3,2.5,6,1,0.75,1,0.25}",
3045682599,"{2,2,6,4,2,8,1,11,2,1}","{4,4,6,3,6,4,4,1,5,5}","{0,1,2,3,4,128,129,130,131,132}","{86,37,39,18,96,34,50,80,28,55}",1489125933,2052,174,5157,2,"{48,45,189,229,139,227,42,213,59,156}","{288,219,493,511,435,581,292,667,442,414}","{0,3,4,3,2,17,7,9,2,2}",f,"{257,224,446,487,337,601,301,681,397,442}",152,"{8,7,8,7,8,11,10,10,11,14}",1,"{0,0,0,0,0,0,0,0,0,0}","{0.5,0.5,1,1.3333333333333,0.33333333333333,2,0.25,11,0.4,0.2}",
3045590815,"{0,3,9,3,4,2,11,7,10,2}","{5,8,5,7,7,2,3,6,6,4}","{0,1,2,3,4,128,129,130,131,132}","{50,96,35,78,20,84,98,11,2,87}",1489121342,2124,85,5157,2,"{47,164,186,42,124,26,302,357,161,39}","{352,433,404,292,441,497,800,784,535,306}","{0,10,6,0,13,1,8,32,2,4}",f,"{236,381,436,246,362,312,636,712,457,266}",153,"{12,11,4,8,13,24,13,15,9,14}",1,"{0,1,0,0,0,0,0,0,0,0}","{0,0.375,1.8,0.42857142857143,0.57142857142857,1,3.6666666666667,1.1666666666667,1.6666666666667,0.5}",
3045588750,"{5,14,14,4,3,9,9,2,4,2}","{8,5,4,5,4,6,5,12,8,9}","{0,1,2,3,4,128,129,130,131,132}","{5,41,74,96,107,106,70,87,63,88}",1489121236,3461,190,5157,2,"{91,287,494,396,54,581,276,147,195,78}","{312,485,484,477,410,477,477,288,481,417}","{3,11,15,0,2,3,24,5,0,2}",t,"{257,562,677,489,295,682,478,328,375,309}",151,"{10,19,20,19,18,14,10,10,12,17}",1,"{0,0,0,0,0,0,0,0,0,0}","{0.625,2.8,3.5,0.8,0.75,1.5,1.8,0.16666666666667,0.5,0.22222222222222}",
3045520943,"{1,4,3,7,6,1,3,0,2,4}","{1,3,3,2,1,3,6,7,2,3}","{0,1,2,3,4,128,129,130,131,132}","{80,37,107,98,34,20,96,103,54,104}",1489117502,1975,105,5157,2,"{229,31,38,196,241,27,146,91,183,239}","{554,279,370,622,510,252,386,256,443,712}","{0,0,2,4,9,3,8,2,19,4}",t,"{601,316,358,556,608,181,364,288,406,501}",154,"{12,13,9,9,10,1,4,4,4,2}",1,"{0,0,0,0,0,0,1,0,0,0}","{1,1.3333333333333,1,3.5,6,0.33333333333333,0.5,0,1,1.3333333333333}",
3045498557,"{2,18,9,7,10,3,1,12,5,5}","{14,1,6,2,3,10,8,7,8,13}","{0,1,2,3,4,128,129,130,131,132}","{87,8,96,16,73,74,5,93,90,78}",1489116112,3694,46,5157,2,"{35,357,254,215,567,481,138,374,394,169}","{281,449,446,449,446,449,446,450,365,391}","{2,14,8,0,6,43,4,13,0,3}",t,"{262,535,412,458,906,646,382,568,492,382}",153,"{22,21,23,31,21,15,13,6,13,9}",1,"{0,0,0,0,0,0,0,0,0,0}","{0.14285714285714,18,1.5,3.5,3.3333333333333,0.3,0.125,1.7142857142857,0.625,0.38461538461538}",
3045424107,"{7,3,10,12,7,0,6,8,8,0}","{4,5,4,3,7,9,6,6,13,7}","{0,1,2,3,4,128,129,130,131,132}","{86,37,75,18,96,28,106,74,98,50}",1489111228,4659,48,5157,2,"{117,197,361,701,416,72,576,703,478,109}","{355,354,357,357,355,252,357,354,354,262}","{2,5,26,15,1,1,23,17,1,1}",t,"{343,334,438,675,466,230,556,682,512,254}",155,"{22,18,20,17,22,14,15,10,9,18}",1,"{0,0,0,0,0,0,0,0,0,0}","{1.75,0.6,2.5,4,1,0,1,1.3333333333333,0.61538461538462,0}",
3045423864,"{2,10,10,2,1,2,7,1,4,1}","{3,0,4,8,0,6,4,5,5,6}","{0,1,2,3,4,128,129,130,131,132}","{37,1,106,51,103,75,8,55,34,84}",1489111211,2792,166,5157,2,"{75,547,216,143,82,32,385,220,398,34}","{414,591,555,304,360,277,563,287,437,285}","{5,19,12,23,0,0,8,3,11,1}",t,"{334,903,452,392,307,203,601,349,497,232}",151,"{18,7,11,7,12,10,3,7,6,11}",1,"{0,0,0,0,0,0,0,0,0,0}","{0.66666666666667,10,2.5,0.25,1,0.33333333333333,1.75,0.2,0.8,0.16666666666667}",
